6913,4
11777,6
20270,12
3277,2
6481,4
17041,9
2867,2
10821,6
12397,7
8145,10
17370,12
53643,19
4277,3
7749,4
13841,7
3290,3
8122,6
13073,9
5960,4
15279,8
14874,9
10852,5
11219,6
23098,11
2897,2
10075,5
14353,7
27882,13
3879,2
8292,5
17745,9
31909,13
2459,1
5321,4
9929,7
16279,11
19371,11
3483,3
7961,6
13197,8
4635,3
10466,6
12683,9
8602,4
13954,7
22202,11
6368,4
12230,6
14530,8
3525,3
6496,4
10736,7
2538,1
5687,3
14057,7
17782,10
3074,2
5020,4
14623,8
20498,13
2882,1
14826,8
25738,11
3375,3
6618,4
14049,7
17917,10
3823,3
7237,5
13467,8
19697,12
7276,5
8889,5
2761,1
3414,3
7870,4
4008,3
7600,5
12341,7
21945,11
4347,2
12071,5
15059,8
18467,12
3453,3
8155,6
11742,7
15554,9
9913,6
28234,16
44794,19
7054,2
15294,10
23156,16
34615,18
4264,3
6373,4
10227,7
15966,9
5194,3
11265,5
11829,8
12691,9
7265,2
8021,4
12594,8
15058,10
11506,3
14216,6
28778,11
6733,5
12511,9
22768,12
23417,13
6865,4
11926,6
22652,11
12721,8
20601,15
24625,15
8429,5
10884,7
22067,12
7762,4
13861,8
22949,11
9047,5
13084,7
32579,12
2749,1
5474,3
7196,5
18565,10
6094,3
8875,5
16944,9
3764,3
8506,5
16292,10
3338,2
7644,5
14630,9
3672,2
9849,5
18344,10
17724,10
26755,12
39802,17
6693,4
10753,6
19671,10
3622,2
7419,5
12673,8
19044,11
6795,3
9864,5
27431,11
5794,3
12308,6
21768,10
30299,16
5500,3
11046,6
21943,11
6440,4
8953,6
14971,8
8287,4
16136,8
33977,12
4989,3
11610,6
14936,9
15754,9
3407,2
9286,6
12745,10
18088,11
2691,1
12984,5
20109,9
30224,12
5061,4
13800,12
15748,15
12441,7
23583,11
32253,16
12421,6
18786,9
26304,12
6777,4
13543,7
19405,10
26502,11
4332,2
8118,5
12774,7
18083,9
4158,2
10153,6
21621,11
12630,7
21411,11
50273,18
5308,3
10856,7
15929,11
12854,6
20166,11
24606,12
3153,2
8517,5
14884,9
7493,4
17098,8
19324,10
6837,3
17630,9
22726,12
4541,2
6865,4
12351,7
4031,2
6759,5
12936,8
24283,11
2279,1
4484,3
5749,5
5124,2
10596,5
17327,9
3658,2
6191,4
14330,7
4156,2
10208,5
15130,8
8631,7
21100,10
28920,12
5122,2
7993,5
9802,7
5265,3
10664,6
14602,9
21213,15
44827,19
9921,5
15663,7
27063,11
15802,8
31604,12
46727,19
10142,6
19408,9
29585,13
5385,3
8606,5
18465,9
5031,3
7391,6
12738,8
25753,12
7836,4
14307,7
22593,12
5211,3
8596,6
18154,10
7788,4
11857,7
25183,11
3326,2
8998,6
20836,11
10050,5
15157,7
29686,10
12143,7
15974,10
23011,12
6964,6
15059,10
29205,12
9025,5
13267,8
22272,11
24574,12
6996,3
20734,7
30344,10
7570,6
15099,8
26275,11
5503,4
10360,6
15960,9
28018,15
10364,5
23635,8
27238,11
44106,17
14022,8
19388,11
29880,16
44282,19
4445,3
8764,6
12249,7
13934,9
10521,4
17125,9
29396,13
2813,2
9757,7
18127,11
10193,3
15076,9
27696,12
26076,12
3716,2
7830,5
11273,8
14627,6
25358,11
32884,13
7198,5
12173,7
22951,11
5221,3
10449,7
15894,10
5044,3
11089,6
19455,10
5119,4
9858,6
19227,11
6874,4
11890,8
17302,11
7092,4
10035,6
17586,9
19352,12
5853,4
6847,5
8651,6
19244,10
29722,13
7149,4
15237,8
22193,11
24129,13
3508,1
11030,7
17491,11
24261,12
5672,4
9949,6
15999,9
7778,5
10879,6
19116,11
7083,4
13754,8
22560,12
4700,3
5653,4
12268,8
6240,3
14218,7
21419,11
11598,6
13214,7
19240,9
6320,4
13350,7
21089,10
22504,11
6050,4
10881,7
26628,11
29316,13
8240,5
14362,8
29230,12
34330,16
4843,3
11691,8
20426,11
11793,10
18831,11
28293,12
47323,19
11409,11
33294,15
39916,19
34551,17
6133,6
16944,10
23364,12
5891,4
14257,9
19811,11
12380,7
17298,11
35102,16
41230,18
9008,6
15231,8
6219,4
13146,7
25066,12
26850,13
6840,5
12006,7
26547,13
2893,2
10772,7
17381,10
10099,4
18152,8
29122,12
9187,5
14365,9
21650,11
5968,2
10776,5
15757,8
16580,10
5968,3
14371,6
19238,9
27013,12
8170,5
13890,9
27715,12
2373,1
7471,3
12346,6
20209,10
6485,4
16780,8
26727,13
5535,3
11022,7
16152,10
4510,4
11233,9
21798,12
5720,2
12750,6
18866,11
8866,5
29644,10
38032,16
9049,5
11901,8
22001,11
18597,12
4434,4
16417,8
20651,11
6129,4
12082,7
18244,11
28509,13
7027,5
18535,9
20088,11
6567,3
13796,7
19881,10
6634,4
12123,7
21527,11
31391,16
7284,6
